_R0A0405.jpg: Canon EOS R5 with a RF100-500mm F4.5-7.1 L IS USM + EXTENDER RF2x - 1/640 s, f/14.0 at ISO-6400
_R0A0179.jpg: Canon EOS R5 with a RF100-500mm F4.5-7.1 L IS USM + EXTENDER RF2x - 1/640 s, f/11.0 at ISO-3200
_R0A9890.jpg: Canon EOS R5 with a RF100-500mm F4.5-7.1 L IS USM + EXTENDER RF2x - 1/640 s, f/13.0 at ISO-6400
_R0A9661.jpg: Canon EOS R5 with a RF100-500mm F4.5-7.1 L IS USM + EXTENDER RF2x - 1/640 s, f/14.0 at ISO-12800
_R0A0103.jpg: Canon EOS R5 with a RF100-500mm F4.5-7.1 L IS USM + EXTENDER RF2x - 1/640 s, f/14.0 at ISO-6400
_R0A0381.jpg: Canon EOS R5 with a RF100-500mm F4.5-7.1 L IS USM + EXTENDER RF2x - 1/640 s, f/13.0 at ISO-2500
_R0A0824.jpg: Canon EOS R5 with a RF100-500mm F4.5-7.1 L IS USM + EXTENDER RF2x - 1/640 s, f/14.0 at ISO-5000
_R0A1075.jpg: Canon EOS R5 with a RF100-500mm F4.5-7.1 L IS USM + EXTENDER RF2x - 1/640 s, f/14.0 at ISO-5000
_R0A9670.jpg: Canon EOS R5 with a RF100-500mm F4.5-7.1 L IS USM + EXTENDER RF2x - 1/640 s, f/14.0 at ISO-12800
_R0A0254.jpg: Canon EOS R5 with a RF100-500mm F4.5-7.1 L IS USM + EXTENDER RF2x - 1/640 s, f/13.0 at ISO-5000
_R0A0783.jpg: Canon EOS R5 with a RF100-500mm F4.5-7.1 L IS USM + EXTENDER RF2x - 1/640 s, f/16.0 at ISO-12800
_R0A0559.jpg: Canon EOS R5 with a RF100-500mm F4.5-7.1 L IS USM + EXTENDER RF2x - 1/640 s, f/16.0 at ISO-5000
_R0A0746.jpg: Canon EOS R5 with a RF100-500mm F4.5-7.1 L IS USM + EXTENDER RF2x - 1/640 s, f/14.0 at ISO-5000
_R0A0523.jpg: Canon EOS R5 with a RF100-500mm F4.5-7.1 L IS USM + EXTENDER RF2x - 1/640 s, f/14.0 at ISO-4000
_R0A0709.jpg: Canon EOS R5 with a RF100-500mm F4.5-7.1 L IS USM + EXTENDER RF2x - 1/640 s, f/14.0 at ISO-3200
_R0A0763.jpg: Canon EOS R5 with a RF100-500mm F4.5-7.1 L IS USM + EXTENDER RF2x - 1/640 s, f/14.0 at ISO-6400
_R0A0900.jpg: Canon EOS R5 with a RF100-500mm F4.5-7.1 L IS USM + EXTENDER RF2x - 1/640 s, f/11.0 at ISO-6400
_R0A1014.jpg: Canon EOS R5 with a RF100-500mm F4.5-7.1 L IS USM + EXTENDER RF2x - 1/640 s, f/14.0 at ISO-6400
_R0A0457.jpg: Canon EOS R5 with a RF100-500mm F4.5-7.1 L IS USM + EXTENDER RF2x - 1/640 s, f/16.0 at ISO-8000
_R0A0813.jpg: Canon EOS R5 with a RF100-500mm F4.5-7.1 L IS USM + EXTENDER RF2x - 1/640 s, f/16.0 at ISO-6400
_R0A0189.jpg: Canon EOS R5 with a RF100-500mm F4.5-7.1 L IS USM + EXTENDER RF2x - 1/640 s, f/13.0 at ISO-4000
_R0A9709.jpg: Canon EOS R5 with a RF100-500mm F4.5-7.1 L IS USM + EXTENDER RF2x - 1/640 s, f/14.0 at ISO-12800
